trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
641,False,"{'a': 0.002, 'e': 0.27803730045319414}",30,3,25.636887445050075,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
642,False,"{'a': 0.002, 'e': 0.2774817815563575}",20,16,6.856412462481506,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.002, 'e': 0.2769273725870171}",25,10,-10.920315791345507,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
644,False,"{'a': 0.002, 'e': 0.27637407132753633}",25,5,28.0192222745413,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.002, 'e': 0.27582187556470933}",20,15,8.264249819779131,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.002, 'e': 0.27527078308975234}",30,3,-46.15677096292769,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 1}",1
647,False,"{'a': 0.002, 'e': 0.2747207916982947}",25,0,-15.516212600844513,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
648,False,"{'a': 0.002, 'e': 0.2741718991903702}",20,1,-55.944674757551404,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
649,False,"{'a': 0.002, 'e': 0.27362410337040804}",20,10,-3.678995554053441,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
650,False,"{'a': 0.002, 'e': 0.2730774020472242}",30,11,6.6337147187563605,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
651,False,"{'a': 0.002, 'e': 0.2725317930340126}",20,12,-36.87479372161076,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
652,False,"{'a': 0.002, 'e': 0.2719872741483365}",25,0,-9.893720788928189,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
653,False,"{'a': 0.002, 'e': 0.27144384321211973}",30,17,-30.49760774844096,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
654,False,"{'a': 0.002, 'e': 0.27090149805163766}",20,0,-21.956363599675566,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
655,False,"{'a': 0.002, 'e': 0.270360236497509}",25,18,-1.9396193163001099,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
656,False,"{'a': 0.002, 'e': 0.2698200563846868}",25,20,7.945117261483738,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.002, 'e': 0.26928095555244996}",20,3,26.189504527193293,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.002, 'e': 0.26874293184439435}",25,11,14.313922039769613,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
659,False,"{'a': 0.002, 'e': 0.2682059831084244}",30,23,4.13717177002532,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.002, 'e': 0.26767010719674456}",30,18,23.736182190034206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.002, 'e': 0.26713530196585034}",25,1,9.293940135516074,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
662,False,"{'a': 0.002, 'e': 0.2666015652765202}",20,13,4.192330915534908,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.002, 'e': 0.26606889499380665}",20,11,-3.575932531205071,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
664,False,"{'a': 0.002, 'e': 0.2655372889870278}",20,0,-5.682216504713402,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
665,False,"{'a': 0.002, 'e': 0.2650067451297589}",25,7,30.537443494978277,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.002, 'e': 0.26447726129982396}",20,0,19.487063237316306,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
667,False,"{'a': 0.002, 'e': 0.2639488353792868}",20,5,-3.747560976127063,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
668,False,"{'a': 0.002, 'e': 0.2634214652544431}",25,3,-59.49878360239588,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
669,False,"{'a': 0.002, 'e': 0.26289514881581166}",20,10,-5.254801674058726,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
670,False,"{'a': 0.002, 'e': 0.262369883958126}",20,1,24.441563477140367,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.002, 'e': 0.261845668580326}",20,0,-6.146650676680345,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
672,False,"{'a': 0.002, 'e': 0.2613225005855494}",30,19,19.18173483200342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.002, 'e': 0.26080037788112365}",25,6,1.024898687072537,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.002, 'e': 0.2602792983785571}",25,19,13.035996787555506,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.002, 'e': 0.2597592599935311}",30,0,4.103458233703364,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
676,False,"{'a': 0.002, 'e': 0.2592402606458915}",35,18,6.585979737040086,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
677,False,"{'a': 0.002, 'e': 0.25872229825964005}",30,12,31.14966699148642,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.002, 'e': 0.25820537076292666}",20,11,9.301895985210214,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.002, 'e': 0.25768947608804055}",20,0,7.302499900632464,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
680,False,"{'a': 0.002, 'e': 0.2571746121714024}",20,13,10.73044390180415,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.002, 'e': 0.2566607769535559}",25,4,-79.25058579290676,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
682,False,"{'a': 0.002, 'e': 0.2561479683791593}",25,14,19.004679119913387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.002, 'e': 0.25563618439697783}",25,0,25.06529799122899,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
684,False,"{'a': 0.002, 'e': 0.2551254229598748}",25,2,5.081217369865278,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
685,False,"{'a': 0.002, 'e': 0.2546156820248037}",25,11,19.312897642938303,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.002, 'e': 0.25410695955280027}",25,13,21.29844481906212,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.002, 'e': 0.25359925350897383}",20,0,-11.498657538182146,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
